Origin,country,lat,lon,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,pde_total_deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths,url
9/28/1998 13:34,Indonesia,-8.177,112.34,151.6,6.5ÿ{\displaystyle M_{\mathrm {w} }},,1,1,1,,,
9/29/1998 22:14,Serbia (seeÿ1998 Mionica earthquake),44.203,20.094,15,5.5ÿ{\displaystyle M_{\mathrm {w} }},,0,1,,0,,
11/13/1998 13:01,Iran,27.791,53.642,12.5,5.4ÿ{\displaystyle M_{\mathrm {w} }},L,5,5,5,5,,
11/19/1998 11:38,China,27.263,100.955,4.8,5.6ÿ{\displaystyle M_{\mathrm {w} }},L,5,5,6,3,,
11/29/1998 14:10,Indonesia,-1.939,124.818,16,7.7ÿ{\displaystyle M_{\mathrm {w} }},,41,41,41,,,
12/11/1998 20:16,Afghanistan,36.518,71,219,5.6ÿ{\displaystyle M_{\mathrm {w} }},,5,5,5,,,
1/25/1999 18:19,"Colombia (seeÿ1999 Armenia, Colombia earthquake)",4.444,-75.659,17,6.1ÿ{\displaystyle M_{\mathrm {w} }},L,1185,1885,1900,1186,,
2/11/1999 14:08,Afghanistan,34.323,69.165,25.5,6.0ÿ{\displaystyle M_{\mathrm {w} }},,70,70,70,70,,
2/21/1999 18:14,Russian Federation,43.262,46.909,41.9,5.3ÿ{\displaystyle M_{\mathrm {w} }},,1,1,1,1,,
3/4/1999 5:38,Iran,28.271,57.207,27.7,6.6ÿ{\displaystyle M_{\mathrm {w} }},,1,1,1,1,,
3/28/1999 19:05,India (seeÿ1999 Chamoli earthquake),30.475,79.401,10.7,6.5ÿ{\displaystyle M_{\mathrm {w} }},L,100,100,100,100,,
4/3/1999 6:17,Peru,-16.602,-72.518,85,6.8ÿ{\displaystyle M_{\mathrm {w} }},L,1,1,1,,,
4/22/1999 22:19,South Africa,-27.953,26.679,6.5,5.7ÿ{\displaystyle m_{b}},,0,2,2,,,
5/6/1999 23:00,Iran,29.519,51.907,16.3,6.2ÿ{\displaystyle M_{\mathrm {w} }},,26,26,26,20,,
